ce1dc1548e1c	graphiti-init	alpine:latest	Up 29 seconds	
6501654deb76	mautrix-meta-db	postgres:15-alpine	Up 3 hours	5432/tcp
dbc37130a8aa	resume-chrome-1	ghcr.io/browserless/chromium:v2.18.0	Up 3 hours	
a9f2e2143442	mautrix-gmessages	dock.mau.dev/mautrix/gmessages:latest	Up 3 hours	
320bdd088907	postgres-gmessages	postgres:15-alpine	Up 3 hours	5432/tcp
bb5da66a514c	discord-bridge	halfshot/matrix-appservice-discord:latest	Up 3 hours	0.0.0.0:9005->9005/tcp, :::9005->9005/tcp
09e12951689d	mcp-filesystem-http	mcp-filesystem-server:latest	Up 3 hours	8080/tcp, 8443/tcp, 0.0.0.0:8100->8100/tcp, :::8100->8100/tcp
21615191d383	ghost-mcp-ghostmcp-1	oculair/ghost-mcp:latest	Up 3 hours (unhealthy)	3001/tcp, 0.0.0.0:3064->3064/tcp, :::3064->3064/tcp
2868fd79df0e	docling-server	docling-docling	Up 3 hours (healthy)	
daf9c5a7c8a5	context7-mcp	context7-context7	Up 3 hours	0.0.0.0:8081->8080/tcp, :::8081->8080/tcp
a2a8cc8be8a8	dockge-dockge-1	louislam/dockge:1	Up 3 hours (healthy)	0.0.0.0:5001->5001/tcp, :::5001->5001/tcp
